Path Length, Path Cost,stl_time,Binary Heap Execution Time(ms), Fibonacci Heap Execution Time(ms)
11,4070923003,0.576,0.572,1.816
10,4370071266,0.715,0.771,2.173
9,4044669979,0.777,0.744,2.202
11,5204457430,0.752,0.692,2.096
1000000000000000000,1000000000000000000,0.684,0.696,2.135
4,652151139,0.684,0.684,2.193
11,4157331542,0.698,0.699,2.222
1000000000000000000,1000000000000000000,0.011,0.284,0.009
6,2724186312,0.689,0.731,2.295
9,3570757047,0.837,0.692,2.225
9,4215197657,0.732,0.784,2.45
11,5366725257,0.707,0.722,2.233
13,6245184088,0.706,0.78,2.238
7,2644751306,0.685,0.717,2.26
1000000000000000000,1000000000000000000,0.009,0.29,0.008
8,2519684004,0.681,0.69,2.166
1000000000000000000,1000000000000000000,0.009,0.279,0.008
5,1222706129,0.691,0.697,2.197
17,5925187038,0.687,0.741,2.18
10,4519834924,0.697,0.778,2.203
8,4176710807,0.739,0.715,2.162
1000000000000000000,1000000000000000000,0.009,0.281,0.008
13,5381725580,0.761,0.708,2.2
10,3600053357,0.583,0.571,1.898
1000000000000000000,1000000000000000000,0.008,0.243,0.008
7,3881407265,0.575,0.696,1.81
7,2672494663,0.574,0.49,1.616
1000000000000000000,1000000000000000000,0.007,0.197,0.007
1000000000000000000,1000000000000000000,0.732,0.725,1.624
11,3740459266,0.795,0.728,2.16
13,5362390174,0.873,0.743,2.421
10,2861101755,0.736,0.7,2.15
1000000000000000000,1000000000000000000,0.008,0.288,0.008
1000000000000000000,1000000000000000000,0.747,0.738,2.221
12,5024914759,0.678,0.786,2.526
9,4253333286,0.618,0.629,1.634
1000000000000000000,1000000000000000000,0.009,0.23,0.009
9,3177407646,0.608,0.701,1.724
1000000000000000000,1000000000000000000,0.739,0.867,1.757
12,3620531464,0.575,0.553,1.609
1000000000000000000,1000000000000000000,0.008,0.205,0.008
1000000000000000000,1000000000000000000,0.565,0.643,1.589
16,5660946628,0.614,0.528,1.671
14,5863116714,0.575,0.517,2.089
12,5207886676,0.585,0.647,1.673
16,5934501296,0.586,0.504,1.703
10,3861221465,0.574,0.485,1.612
1000000000000000000,1000000000000000000,0.008,0.197,0.008
9,3849315910,0.559,0.551,1.566
1000000000000000000,1000000000000000000,0.008,0.192,0.008
5,2052926060,0.747,0.8,1.837
1000000000000000000,1000000000000000000,0.568,0.499,1.587
16,5780517366,0.575,0.482,1.585
8,3712707479,0.565,0.709,1.615
11,4946058363,0.573,0.542,1.566
1000000000000000000,1000000000000000000,0.572,0.485,1.626
1000000000000000000,1000000000000000000,0.595,0.553,1.611
1000000000000000000,1000000000000000000,0.661,0.474,1.532
11,3924994698,0.605,0.512,1.639
13,5777068060,0.564,0.528,1.657
1000000000000000000,1000000000000000000,0.563,0.493,1.536
12,3999674558,0.562,0.543,1.716
1000000000000000000,1000000000000000000,0.557,0.47,1.579
1000000000000000000,1000000000000000000,0.56,0.477,1.539
7,2494034430,0.563,0.473,1.638
10,5831073488,0.557,0.503,1.554
1000000000000000000,1000000000000000000,0.008,0.192,0.007
5,3416424430,0.566,0.475,1.555
1000000000000000000,1000000000000000000,0.008,0.235,0.008
1000000000000000000,1000000000000000000,0.564,0.474,1.552
1000000000000000000,1000000000000000000,0.553,0.469,1.565
7,2667887644,0.555,0.467,1.525
13,3155553751,0.558,0.47,1.607
11,5150763567,0.565,0.474,1.584
16,5709638785,0.557,0.469,1.541
6,3138272860,0.568,0.482,1.677
1000000000000000000,1000000000000000000,0.008,0.198,0.008
1000000000000000000,1000000000000000000,0.566,0.478,1.645
12,3994745919,0.558,0.47,1.541
6,2488918066,0.555,0.477,1.576
12,5528576263,0.565,0.477,1.602
6,1486388898,0.564,0.469,1.547
8,4803591061,0.56,0.472,1.563
9,3371053190,0.561,0.49,1.595
1000000000000000000,1000000000000000000,0.555,0.47,1.52
11,4966746904,0.556,0.47,1.553
11,4390084436,0.564,0.511,1.548
10,5676581131,0.559,0.471,1.562
9,4353741392,0.562,0.473,1.583
14,4419024387,0.567,0.519,1.56
1000000000000000000,1000000000000000000,0.561,0.47,1.536
6,3088874066,0.587,0.594,1.618
10,2077150421,0.568,0.511,1.604
1000000000000000000,1000000000000000000,0.573,0.484,1.573
7,3174782813,0.576,0.484,1.582
7,4693450490,0.567,0.516,1.607
9,4452572955,0.577,0.485,1.59
12,5551269986,0.574,0.484,1.577
10,3597151042,0.577,0.491,1.594
1000000000000000000,1000000000000000000,0.571,0.481,1.559
1000000000000000000,1000000000000000000,0.008,0.198,0.008
8,4330202213,0.565,0.477,1.594
9,4446477893,0.556,0.472,1.546
7,2725750969,0.56,0.472,1.532
1000000000000000000,1000000000000000000,0.008,0.192,0.008
1000000000000000000,1000000000000000000,0.008,0.192,0.008
13,5513456935,0.558,0.504,1.537
1000000000000000000,1000000000000000000,0.007,0.191,0.007
8,5013653600,0.558,0.471,1.529
10,3583506480,0.554,0.467,1.523
1000000000000000000,1000000000000000000,0.614,0.607,1.536
1000000000000000000,1000000000000000000,0.579,0.503,1.614
1000000000000000000,1000000000000000000,0.572,0.481,1.568
8,4943504399,0.561,0.474,1.562
1000000000000000000,1000000000000000000,0.008,0.193,0.008
1000000000000000000,1000000000000000000,0.008,0.192,0.007
10,3011732541,0.56,0.471,1.618
8,2494789994,0.559,0.472,1.533
1000000000000000000,1000000000000000000,0.557,0.472,1.579
10,4462112992,0.556,0.471,1.577
3,1621028625,0.563,0.473,1.554
8,3031204037,0.614,0.635,1.655
3,1362786064,0.597,0.798,1.91
10,3265009640,0.565,0.547,1.705
7,3584217458,0.561,0.481,1.515
1000000000000000000,1000000000000000000,0.553,0.468,1.593
12,6133945589,0.597,0.492,1.517
12,3892968575,0.597,0.651,1.6
12,4425444872,0.574,0.485,1.611
11,3973730999,0.559,0.533,1.589
1000000000000000000,1000000000000000000,0.007,0.192,0.008
8,5494936749,0.566,0.469,1.544
11,5141713456,0.555,0.47,1.593
5,3434757671,0.554,0.548,1.532
10,4722837699,0.624,0.469,1.514
7,4240225083,0.569,0.476,1.605
10,3987650463,0.562,0.51,1.544
1000000000000000000,1000000000000000000,0.008,0.192,0.008
10,4746596802,0.582,0.492,1.617
8,3757890467,0.558,0.471,1.603
6,3335109269,0.563,0.51,1.55
1000000000000000000,1000000000000000000,0.557,0.468,1.571
9,3396223363,0.601,0.537,1.652
1000000000000000000,1000000000000000000,0.008,0.192,0.007
1000000000000000000,1000000000000000000,0.565,0.473,1.631
14,5307668212,0.617,0.663,1.555
9,3251986325,0.583,0.492,1.629
1000000000000000000,1000000000000000000,0.584,0.488,1.65
10,4491416981,0.615,0.481,1.569
1000000000000000000,1000000000000000000,0.554,0.469,1.556
17,5933181455,0.57,0.511,1.594
7,3624147805,0.606,0.495,1.597
8,3290635012,0.562,0.48,1.615
5,2063164848,0.558,0.472,1.573
1000000000000000000,1000000000000000000,0.008,0.192,0.008
10,4014246021,0.616,0.476,1.544
1000000000000000000,1000000000000000000,0.008,0.192,0.007
1000000000000000000,1000000000000000000,0.008,0.192,0.007
1000000000000000000,1000000000000000000,0.008,0.192,0.008
1000000000000000000,1000000000000000000,0.627,0.475,1.537
1000000000000000000,1000000000000000000,0.561,0.469,1.584
1000000000000000000,1000000000000000000,0.556,0.477,1.535
1000000000000000000,1000000000000000000,0.007,0.192,0.008
1000000000000000000,1000000000000000000,0.008,0.193,0.007
10,3166008238,0.556,0.47,1.513
1000000000000000000,1000000000000000000,0.653,0.475,1.554
9,2848219227,0.586,0.511,1.709
10,3843094464,0.583,0.497,1.591
13,7169107532,0.58,0.486,1.632
14,7724676827,0.566,0.481,1.65
4,2781387912,0.557,0.48,1.566
1000000000000000000,1000000000000000000,0.558,0.471,1.587
1000000000000000000,1000000000000000000,0.008,0.193,0.007
8,3817870450,0.558,0.552,1.727
1000000000000000000,1000000000000000000,0.008,0.206,0.008
6,2892553310,0.59,0.467,1.514
1000000000000000000,1000000000000000000,0.007,0.248,0.026
12,4826708436,0.565,0.476,1.548
1000000000000000000,1000000000000000000,0.008,0.192,0.008
6,1609110963,0.562,0.473,1.592
9,2883526733,0.56,0.51,1.539
1000000000000000000,1000000000000000000,0.009,0.193,0.009
9,2616655399,0.561,0.474,1.57
0,0,0.557,0.468,1.583
12,3173750487,0.555,0.508,1.52
7,3641104920,0.556,0.469,1.526
5,2535296280,0.588,0.498,1.728
1000000000000000000,1000000000000000000,0.008,0.203,0.008
10,1771160609,0.576,0.515,1.633
1000000000000000000,1000000000000000000,0.007,0.197,0.008
12,3944954923,0.584,0.489,1.645
1000000000000000000,1000000000000000000,0.556,0.467,1.563
14,4581393058,0.557,0.472,1.646
1000000000000000000,1000000000000000000,0.008,0.192,0.007
11,5146424990,0.565,0.474,1.541
1000000000000000000,1000000000000000000,0.008,0.207,0.026
1000000000000000000,1000000000000000000,0.009,0.193,0.008
1000000000000000000,1000000000000000000,0.561,0.472,1.543
1000000000000000000,1000000000000000000,0.008,0.192,0.008
12,6831155423,0.566,0.474,1.561
1000000000000000000,1000000000000000000,0.008,0.193,0.008
1000000000000000000,1000000000000000000,0.565,0.509,1.561
15,6997040864,0.558,0.47,1.529
10,4446904327,0.56,0.469,1.541
13,4095777718,0.721,0.721,1.73
8,4081394174,0.623,0.638,2.002
1000000000000000000,1000000000000000000,0.008,0.277,0.008
12,5100168771,0.665,0.486,1.808
1000000000000000000,1000000000000000000,0.785,0.752,2.455
5,2716554470,0.725,0.734,2.353
1000000000000000000,1000000000000000000,0.01,0.3,0.009
1000000000000000000,1000000000000000000,0.697,0.714,2.184
4,1963410522,0.688,0.695,2.214
1000000000000000000,1000000000000000000,0.01,0.304,0.009
1000000000000000000,1000000000000000000,0.01,0.303,0.009
10,4877674717,0.675,0.692,2.177
1000000000000000000,1000000000000000000,0.782,0.7,2.205
15,5695148822,0.686,0.712,2.222
1000000000000000000,1000000000000000000,0.689,0.703,2.205
1000000000000000000,1000000000000000000,0.726,1.03,2.425
10,4174857590,0.683,0.738,2.238
1000000000000000000,1000000000000000000,0.025,0.345,0.009
1000000000000000000,1000000000000000000,0.009,0.293,0.008
1000000000000000000,1000000000000000000,0.733,0.738,2.295
1000000000000000000,1000000000000000000,0.729,0.752,2.261
15,6816770559,0.725,0.745,2.253
8,3405539138,0.712,0.817,2.244
11,4524937013,0.728,0.709,2.269
1000000000000000000,1000000000000000000,0.009,0.318,0.008
11,4067896285,0.706,0.737,2.22
8,4005441420,0.701,0.743,2.123
15,4970950940,0.621,0.633,2.128
10,4496506230,0.599,0.612,1.707
1000000000000000000,1000000000000000000,0.564,0.478,1.624
8,3628653049,0.558,0.512,1.52
1000000000000000000,1000000000000000000,0.672,0.703,1.874
1000000000000000000,1000000000000000000,0.009,0.329,0.009
10,4921712003,0.769,0.778,2.191
1000000000000000000,1000000000000000000,0.009,0.28,0.008
7,4111232456,0.73,0.71,2.093
10,2787216706,0.563,0.539,2.188
1000000000000000000,1000000000000000000,0.008,0.198,0.008
1000000000000000000,1000000000000000000,0.008,0.193,0.008
6,2209515765,0.563,0.516,1.588
14,6361842068,0.558,0.507,1.531
12,4422219398,0.569,0.475,1.568
1000000000000000000,1000000000000000000,0.008,0.193,0.007
9,3664082446,0.555,0.47,1.555
1000000000000000000,1000000000000000000,0.007,0.192,0.007
13,5318232271,0.559,0.489,1.591
1000000000000000000,1000000000000000000,0.009,0.193,0.008
10,4370895788,0.561,0.471,1.554
9,4486308178,0.565,0.477,1.599
1000000000000000000,1000000000000000000,0.559,0.469,1.573
1000000000000000000,1000000000000000000,0.007,0.192,0.007
8,3472350828,0.564,0.471,1.533
5,1613751771,0.567,0.48,1.589
13,2582432128,0.564,0.471,1.647
1000000000000000000,1000000000000000000,0.625,0.47,1.643
14,4643968961,0.605,0.506,1.671
9,2177114898,0.56,0.472,1.63
1000000000000000000,1000000000000000000,0.008,0.193,0.007
10,4114525794,0.618,0.465,1.499
10,4975395870,0.579,0.496,1.545
8,3490106165,0.566,0.474,1.628
6,3339421804,0.596,0.474,1.559
1000000000000000000,1000000000000000000,0.008,0.194,0.008
6,1859747969,0.557,0.467,1.517
