Path Length, Path Cost,Binary Heap Execution Time(ms), Fibonacci Heap Execution Time(ms)
5,3416424430,0.341,0.132
1000000000000000000,1000000000000000000,0.365,0.012
1000000000000000000,1000000000000000000,0.471,0.016
1000000000000000000,1000000000000000000,0.591,0.033
1000000000000000000,1000000000000000000,1.741,0.017
1000000000000000000,1000000000000000000,1.135,0.056
1000000000000000000,1000000000000000000,0.829,0.024
1000000000000000000,1000000000000000000,0.304,0.012
1000000000000000000,1000000000000000000,0.386,0.151
1000000000000000000,1000000000000000000,0.319,0.012
1000000000000000000,1000000000000000000,0.342,0.138
1000000000000000000,1000000000000000000,0.305,0.011
1000000000000000000,1000000000000000000,0.388,0.012
1000000000000000000,1000000000000000000,0.434,0.015
1000000000000000000,1000000000000000000,0.463,0.02
1000000000000000000,1000000000000000000,0.341,0.017
1000000000000000000,1000000000000000000,0.406,0.012
1000000000000000000,1000000000000000000,0.342,0.012
